paper,model,sentence,FRE,FOG,characters_per_word,syll_per_word,words_per_sentence,sentences_per_paragraph,type_token_ratio,characters,syllables,words,wordtypes,sentences,paragraphs,long_words,complex_words,complex_words_dc,tobeverb,auxverb,conjunction,pronoun,preposition,nominalization,interrogative,article,subordination
Artikel 1 AI,ORIGINAL 0,"Sinds het einde van de 20ste eeuw zijn er als gevolg van technologische ontwikkelingen nieuwe mogelijkheden ontstaan om data te verzamelen en te analyseren. 
",27.375000000000014,17.933333333333334,5.5,1.8333333333333333,24.0,1.0,0.9166666666666666,132,44,24,22,1,1,6,5,6,1,0,0,0,0,0,0,0,1
Artikel 1 AI,ORIGINAL 0,De opkomst van ‘big data’ en de toegenomen mogelijkheden van artificiële intelligentie (AI) in de 21ste eeuw zijn met veel interesse omarmd door de politie.,29.18000000000001,18.0,5.08,1.8,25.0,1.0,0.88,127,45,25,22,1,1,7,5,8,1,0,0,0,0,1,0,1,0
Artikel 1 AI,ORIGINAL 0,Het gebruik van deze technologieën door de politie kan worden beschreven als algoritmische surveillance.,23.42500000000002,17.02857142857143,6.428571428571429,2.0,14.0,1.0,1.0,90,28,14,14,1,1,6,4,4,0,2,0,1,0,1,0,1,0
Artikel 1 AI,ORIGINAL 0,"Dit zijn algoritmische systemen die 1. gebruik maken van op regels gebaseerde algoritmen om gestructureerde en ongestructureerde gegevens te classificeren, op te slaan, te combineren en te doorzoeken, om vastgelegde gegevens te vergelijken met andere gegevens en overeenkomsten te vinden;",-19.88499999999999,31.0,6.1,2.2,40.0,1.0,0.725,244,88,40,29,1,1,16,15,11,1,0,0,0,0,0,0,0,0
Artikel 1 AI,ORIGINAL 0,en 2.,120.20500000000001,0.8,1.5,1.0,2.0,1.0,1.0,3,2,2,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Artikel 1 AI,ORIGINAL 0,gebruik maken van machine-lerende algoritmes om patronen en bruikbare kennis in big data sets trachten te voorspellen op basis van de patronen die in de vastgelegde gegevens zijn gevonden.,19.86896551724141,22.634482758620692,5.482758620689655,1.8620689655172413,29.0,1.0,0.8620689655172413,159,54,29,25,1,1,11,8,10,1,0,0,0,0,1,0,0,0
Artikel 1 AI,ORIGINAL 0,"Ondanks de toegenomen regelgeving3, die als doel heeft de democratische waarborgen te garanderen van algoritmische surveillance, lijkt dit het gebruik ervan eerder te stimuleren.",6.2250000000000085,22.933333333333334,6.333333333333333,2.0833333333333335,24.0,1.0,0.9166666666666666,152,50,24,22,1,1,10,8,7,0,1,0,0,1,0,0,0,1
Artikel 1 AI,ORIGINAL 0,"Denk bijvoorbeeld aan de significante toename van het gebruik van ‘intelligent’ cameratoezicht in België, maar ook elders in Europa.5",34.25500000000001,16.0,5.55,1.8,20.0,1.0,0.9,111,36,20,18,1,1,6,4,4,0,0,0,0,0,0,0,0,0
Artikel 1 AI,ORIGINAL 0,Dit roept de vraag op of de huidige controlemechanismen voldoende zijn om alle burgers te beschermen tegen de mogelijke gevolgen van het gebruik van algoritmische surveillance door de politie.,19.86896551724141,19.875862068965517,5.620689655172414,1.8620689655172413,29.0,1.0,0.8620689655172413,163,54,29,25,1,1,11,6,3,1,0,0,0,0,1,0,0,0
Artikel 1 AI,ORIGINAL 0,Het doel van deze bijdrage is om na te denken over de vraag of huidige controle en handhavingsmechanismen voor het gebruik van algoritmische surveillance door de politie herdacht zouden moeten worden.,28.002258064516163,16.270967741935486,5.451612903225806,1.7419354838709677,31.0,1.0,0.9354838709677419,169,54,31,29,1,1,9,3,4,1,3,0,1,0,1,0,1,0
